0.74877	0.67104	0.91109	1.2521	1.7162	2.3084	2.8918	3.1542	2.8132	1.8466
2.8282	2.0251	1.6526	1.6456	1.8384	2.209	2.7661	3.3845	3.7406	3.5477
3.927	3.4169	2.7321	2.2413	2.0249	2.0249	2.2413	2.7321	3.4169	3.927
3.5477	3.7406	3.3845	2.7661	2.209	1.8384	1.6456	1.6526	2.0251	2.8282
1.8466	2.8132	3.1542	2.8918	2.3084	1.7162	1.2521	0.91109	0.67104	0.74877
0.13073	1.2286	2.1952	2.5362	2.2737	1.6904	1.0981	0.63407	0.29306	0.053009
0.034611	0.4071	1.2102	1.9297	2.1225	1.7665	1.148	0.59092	0.2204	0.027591
0.024926	0.24128	0.73205	1.4169	1.927	1.927	1.4169	0.73205	0.24128	0.024926
0.027591	0.2204	0.59092	1.148	1.7665	2.1225	1.9297	1.2102	0.4071	0.034611
0.053009	0.29306	0.63407	1.0981	1.6904	2.2737	2.5362	2.1952	1.2286	0.13073
