0.15161	0.13579	0.17803	0.22718	0.2788	0.33209	0.38695	0.44349	0.50193	0.56252	0.62555	0.69134	0.76025	0.83262	0.90885	0.9893	1.0743	1.1643	1.2595	1.3601	1.4661	1.5773	1.6935	1.8139	1.9374	2.0628	2.1881	2.3113	2.4298	2.5408	2.6416	2.7292	2.8005	2.853	2.884	2.8914	2.8734	2.8287	2.7563	2.6559	2.5277	2.3722	2.1906	1.9845	1.756	1.5077	1.2423	0.96343	0.67541	0.38646
0.63168	0.45297	0.38101	0.37926	0.40578	0.44429	0.48911	0.53802	0.59013	0.6451	0.70289	0.76359	0.8274	0.89459	0.96545	1.0403	1.1196	1.2036	1.2926	1.3869	1.4867	1.5921	1.7028	1.8186	1.9386	2.062	2.1873	2.3127	2.436	2.5548	2.6663	2.7676	2.8558	2.9279	2.9812	3.0132	3.0217	3.0049	2.9615	2.8906	2.792	2.6657	2.5125	2.3338	2.1312	1.9071	1.6647	1.4078	1.142	0.87664
1.1189	0.90773	0.74877	0.65706	0.62156	0.62094	0.64012	0.67104	0.7096	0.75371	0.80229	0.85482	0.91109	0.9711	1.035	1.1029	1.1752	1.2521	1.334	1.4211	1.5138	1.6121	1.7162	1.8259	1.9408	2.0603	2.1833	2.3084	2.4339	2.5576	2.677	2.7894	2.8918	2.9812	3.0548	3.1098	3.1436	3.1542	3.1398	3.099	3.031	2.9357	2.8132	2.6645	2.4909	2.2947	2.0787	1.8466	1.6036	1.3572
1.5903	1.3747	1.1848	1.0354	0.93417	0.87733	0.85404	0.85373	0.86889	0.8948	0.92863	0.96872	1.0141	1.0642	1.1189	1.1781	1.2419	1.3104	1.3839	1.4627	1.5471	1.6373	1.7335	1.8357	1.9438	2.0575	2.1761	2.2985	2.4235	2.5492	2.6735	2.7937	2.9073	3.0113	3.1026	3.1783	3.2358	3.2724	3.286	3.275	3.2379	3.1742	3.0835	2.9664	2.8238	2.6574	2.4697	2.2639	2.0445	1.8172
2.0371	1.8273	1.6291	1.4533	1.3094	1.2026	1.1317	1.091	1.0736	1.0734	1.0861	1.1086	1.139	1.1759	1.2187	1.2669	1.3203	1.3788	1.4426	1.5118	1.5867	1.6676	1.7546	1.8479	1.9477	2.0538	2.1659	2.2833	2.405	2.5298	2.6557	2.7807	2.9021	3.0173	3.1233	3.217	3.2956	3.3562	3.3964	3.4139	3.4071	3.3748	3.3163	3.2315	3.1208	2.9856	2.8276	2.6496	2.4552	2.249
2.452	2.2541	2.0586	1.8738	1.7078	1.5676	1.4572	1.3764	1.3224	1.2906	1.2765	1.2763	1.2874	1.3075	1.3354	1.37	1.4108	1.4575	1.51	1.5682	1.6324	1.7027	1.7793	1.8625	1.9524	2.0493	2.1529	2.2629	2.3789	2.4998	2.6242	2.7504	2.8763	2.9992	3.1164	3.2248	3.3215	3.4035	3.4679	3.5123	3.5345	3.5328	3.506	3.4536	3.3754	3.2721	3.145	2.9962	2.8284	2.6454
2.8284	2.6469	2.4612	2.2778	2.1033	1.9446	1.8071	1.694	1.606	1.5415	1.4977	1.4713	1.4593	1.4593	1.4692	1.4876	1.5137	1.5466	1.5861	1.6318	1.6839	1.7423	1.8073	1.8791	1.9579	2.0439	2.1373	2.238	2.3458	2.46	2.5798	2.7039	2.8305	2.9574	3.082	3.2015	3.3129	3.413	3.4989	3.5678	3.617	3.6445	3.6485	3.6279	3.5821	3.5112	3.4158	3.2973	3.1578	3.0003
3.1603	2.9989	2.8282	2.6533	2.4798	2.3138	2.1607	2.0251	1.91	1.8164	1.7436	1.6898	1.6526	1.6298	1.6193	1.6192	1.6283	1.6456	1.6704	1.7022	1.7409	1.7862	1.8384	1.8976	1.964	2.0379	2.1195	2.209	2.3063	2.4114	2.5237	2.6424	2.7661	2.8931	3.0211	3.1477	3.2699	3.3845	3.4886	3.5789	3.6527	3.7073	3.7406	3.7508	3.7369	3.6983	3.635	3.5477	3.438	3.3079
3.4424	3.3044	3.1528	2.9918	2.8263	2.6613	2.5021	2.3536	2.2196	2.1029	2.0048	1.9251	1.8628	1.8162	1.7837	1.7633	1.7538	1.7537	1.7623	1.7788	1.8027	1.8339	1.8722	1.9178	1.9707	2.0312	2.0997	2.1764	2.2616	2.3552	2.4574	2.5675	2.6848	2.808	2.9354	3.0648	3.1936	3.3188	3.4371	3.5455	3.6408	3.7199	3.7804	3.8199	3.8368	3.83	3.7988	3.7433	3.6644	3.5634
3.6703	3.5582	3.4291	3.2866	3.1345	2.9772	2.8196	2.6662	2.5213	2.3886	2.2706	2.1688	2.0833	2.0137	1.9589	1.9175	1.8881	1.8695	1.8606	1.8606	1.8688	1.8848	1.9083	1.9393	1.9778	2.0241	2.0784	2.141	2.2124	2.2928	2.3824	2.4812	2.5888	2.7046	2.8273	2.9553	3.0862	3.2174	3.3459	3.4684	3.5815	3.6821	3.7671	3.8338	3.88	3.9039	3.9044	3.8808	3.8334	3.7627
